,lab,lat,long
0,0,4,4
1,1,1,1
2,2,3,3
3,3,2,2
4,4,5,5
5,5,8,8
6,6,2,2
7,7,3,3
8,8,4,4
9,9,1,1
10,10,2,2
11,11,7,7
12,12,6,6
13,13,5,5
14,14,5,5
15,15,1,1
16,16,3,3
17,17,1,1
18,18,3,3
19,19,5,5
20,20,3,3
21,21,4,4
22,22,6,6
23,23,3,3
24,24,3,3
25,25,1,1
26,26,1,1
27,27,2,2
28,28,5,5
29,29,1,1
30,30,3,3
31,31,8,8
32,32,2,2
33,33,2,2
34,34,1,1
35,35,6,6
36,36,1,1
37,37,8,8
38,38,2,2
39,39,2,2
40,40,3,3
41,41,1,1
42,42,4,4
43,43,5,5
44,44,2,2
45,45,5,5
46,46,2,2
47,47,3,3
48,48,2,2
49,49,6,6
50,50,2,2
51,51,2,2
52,52,2,2
53,53,3,3
54,54,1,1
55,55,1,1
56,56,1,1
57,57,4,4
58,58,5,5
59,59,2,2
60,60,4,4
61,61,8,8
62,62,8,8
63,63,2,2
64,64,5,5
65,65,5,5
66,66,4,4
67,67,1,1
68,68,2,2
69,69,4,4
70,70,1,1
71,71,10,10
72,72,12,12
73,73,4,4
74,74,8,8
75,75,1,1
76,76,2,2
77,77,5,5
78,78,1,1
79,79,1,1
80,80,6,6
81,81,2,2
82,82,6,6
83,83,2,2
84,84,1,1
85,85,3,3
86,86,6,6
87,87,1,1
88,88,9,9
89,89,3,3
90,90,4,4
91,91,6,6
92,92,1,1
93,93,1,1
94,94,3,3
95,95,3,3
96,96,6,6
97,97,6,6
98,98,8,8
99,99,4,4
100,100,1,1
101,101,12,12
102,102,1,1
103,103,1,1
104,104,1,1
105,105,2,2
106,106,1,1
107,107,6,6
108,108,1,1
109,109,2,2
110,110,1,1
111,111,9,9
112,112,2,2
113,113,2,2
114,114,2,2
115,115,3,3
116,116,9,9
117,117,2,2
118,118,3,3
119,119,1,1
120,120,2,2
121,121,1,1
122,122,1,1
123,123,5,5
124,124,3,3
125,125,5,5
126,126,5,5
127,127,5,5
128,128,1,1
129,129,3,3
130,130,2,2
131,131,7,7
132,132,5,5
133,133,7,7
134,134,2,2
135,135,2,2
136,136,1,1
137,137,3,3
138,138,3,3
139,139,1,1
140,140,2,2
141,141,1,1
142,142,1,1
143,143,4,4
144,144,2,2
145,145,2,2
146,146,2,2
147,147,5,5
148,148,3,3
149,149,3,3
150,150,1,1
151,151,4,4
152,152,2,2
153,153,5,5
154,154,2,2
155,155,2,2
156,156,4,4
157,157,6,6
158,158,10,10
159,159,2,2
160,160,3,3
161,161,2,2
162,162,1,1
163,163,4,4
164,164,1,1
165,165,1,1
166,166,3,3
167,167,10,10
168,168,1,1
169,169,1,1
170,170,1,1
171,171,1,1
172,172,3,3
173,173,6,6
174,174,4,4
175,175,3,3
176,176,6,6
177,177,5,5
178,178,10,10
179,179,4,4
180,180,2,2
181,181,1,1
182,182,4,4
183,183,9,9
184,184,1,1
185,185,2,2
186,186,6,6
187,187,3,3
188,188,1,1
189,189,1,1
190,190,2,2
191,191,1,1
192,192,2,2
193,193,4,4
194,194,3,3
195,195,2,2
196,196,4,4
197,197,2,2
198,198,3,3
199,199,2,2
200,200,2,2
201,201,18,18
202,202,8,8
203,203,2,2
204,204,2,2
205,205,1,1
206,206,4,4
207,207,4,4
208,208,1,1
209,209,5,5
210,210,5,5
211,211,1,1
212,212,1,1
213,213,2,2
214,214,3,3
215,215,3,3
216,216,4,4
217,217,2,2
218,218,1,1
219,219,6,6
220,220,2,2
221,221,3,3
222,222,3,3
223,223,3,3
224,224,6,6
225,225,2,2
226,226,2,2
227,227,5,5
228,228,4,4
229,229,3,3
230,230,1,1
231,231,7,7
232,232,3,3
233,233,2,2
234,234,5,5
235,235,5,5
236,236,1,1
237,237,2,2
238,238,1,1
239,239,4,4
240,240,7,7
241,241,10,10
242,242,6,6
243,243,1,1
244,244,5,5
245,245,1,1
246,246,12,12
247,247,1,1
248,248,5,5
249,249,5,5
250,250,1,1
251,251,1,1
252,252,2,2
253,253,15,15
254,254,2,2
255,255,3,3
256,256,7,7
257,257,4,4
258,258,1,1
259,259,5,5
260,260,6,6
261,261,5,5
262,262,7,7
263,263,3,3
264,264,5,5
265,265,8,8
266,266,2,2
267,267,1,1
268,268,1,1
269,269,1,1
270,270,3,3
271,271,5,5
272,272,3,3
273,273,1,1
274,274,3,3
275,275,2,2
276,276,1,1
277,277,6,6
278,278,8,8
279,279,7,7
280,280,3,3
281,281,4,4
282,282,1,1
283,283,2,2
284,284,1,1
285,285,1,1
286,286,9,9
287,287,1,1
288,288,3,3
289,289,2,2
290,290,5,5
291,291,7,7
292,292,2,2
293,293,1,1
294,294,4,4
295,295,7,7
296,296,1,1
297,297,3,3
298,298,3,3
299,299,2,2
300,300,1,1
301,301,1,1
302,302,3,3
303,303,4,4
304,304,4,4
305,305,1,1
306,306,1,1
307,307,1,1
308,308,4,4
309,309,4,4
310,310,2,2
311,311,4,4
312,312,3,3
313,313,2,2
314,314,3,3
315,315,4,4
316,316,3,3
317,317,9,9
318,318,2,2
319,319,1,1
320,320,3,3
321,321,4,4
322,322,1,1
323,323,7,7
324,324,5,5
325,325,5,5
326,326,2,2
327,327,4,4
328,328,1,1
329,329,1,1
330,330,1,1
331,331,5,5
332,332,8,8
333,333,1,1
334,334,1,1
335,335,9,9
336,336,2,2
337,337,1,1
338,338,6,6
339,339,9,9
340,340,4,4
341,341,1,1
342,342,4,4
343,343,1,1
344,344,1,1
345,345,1,1
346,346,1,1
347,347,1,1
348,348,1,1
349,349,5,5
350,350,6,6
351,351,1,1
352,352,3,3
353,353,5,5
354,354,1,1
355,355,1,1
356,356,4,4
357,357,1,1
358,358,3,3
359,359,2,2
360,360,4,4
361,361,2,2
362,362,2,2
363,363,3,3
364,364,1,1
365,365,2,2
366,366,5,5
367,367,4,4
368,368,1,1
369,369,1,1
370,370,1,1
371,371,2,2
372,372,8,8
373,373,2,2
374,374,12,12
375,375,3,3
376,376,2,2
377,377,5,5
378,378,3,3
379,379,3,3
380,380,2,2
381,381,4,4
382,382,3,3
383,383,1,1
384,384,9,9
385,385,3,3
386,386,1,1
387,387,3,3
388,388,3,3
389,389,2,2
390,390,6,6
391,391,1,1
392,392,2,2
393,393,7,7
394,394,8,8
395,395,2,2
396,396,7,7
397,397,2,2
398,398,4,4
399,399,3,3
400,400,9,9
401,401,1,1
402,402,2,2
403,403,1,1
404,404,4,4
405,405,1,1
406,406,1,1
407,407,1,1
408,408,9,9
409,409,4,4
410,410,2,2
411,411,6,6
412,412,6,6
413,413,1,1
414,414,2,2
415,415,1,1
416,416,1,1
417,417,7,7
418,418,4,4
419,419,1,1
420,420,1,1
421,421,3,3
422,422,3,3
423,423,9,9
424,424,2,2
425,425,2,2
426,426,2,2
427,427,3,3
428,428,3,3
429,429,1,1
430,430,1,1
431,431,2,2
432,432,3,3
433,433,4,4
434,434,1,1
435,435,11,11
436,436,1,1
437,437,5,5
438,438,2,2
439,439,2,2
440,440,3,3
441,441,9,9
442,442,2,2
443,443,4,4
444,444,1,1
445,445,15,15
446,446,4,4
447,447,5,5
448,448,1,1
449,449,3,3
450,450,1,1
451,451,1,1
452,452,6,6
453,453,1,1
454,454,2,2
455,455,1,1
456,456,5,5
457,457,2,2
458,458,2,2
459,459,8,8
460,460,6,6
461,461,1,1
462,462,1,1
463,463,2,2
464,464,2,2
465,465,13,13
466,466,2,2
467,467,5,5
468,468,2,2
469,469,3,3
470,470,1,1
471,471,5,5
472,472,1,1
473,473,4,4
474,474,2,2
475,475,1,1
476,476,2,2
477,477,4,4
478,478,1,1
479,479,3,3
480,480,10,10
481,481,1,1
482,482,2,2
483,483,3,3
484,484,2,2
485,485,1,1
486,486,1,1
487,487,1,1
488,488,5,5
489,489,3,3
490,490,4,4
491,491,2,2
492,492,5,5
493,493,2,2
494,494,4,4
495,495,6,6
496,496,2,2
497,497,5,5
498,498,5,5
499,499,2,2
500,500,8,8
501,501,2,2
502,502,6,6
503,503,1,1
504,504,2,2
505,505,1,1
506,506,5,5
507,507,2,2
508,508,6,6
509,509,2,2
510,510,5,5
511,511,1,1
512,512,2,2
513,513,1,1
514,514,4,4
515,515,1,1
516,516,4,4
517,517,6,6
518,518,2,2
519,519,1,1
520,520,1,1
521,521,3,3
522,522,1,1
523,523,1,1
524,524,1,1
525,525,1,1
526,526,1,1
527,527,2,2
528,528,3,3
529,529,2,2
530,530,1,1
531,531,2,2
532,532,3,3
533,533,6,6
534,534,2,2
535,535,1,1
536,536,7,7
537,537,17,17
538,538,3,3
539,539,1,1
540,540,2,2
541,541,1,1
542,542,2,2
543,543,3,3
544,544,1,1
545,545,2,2
546,546,2,2
547,547,1,1
548,548,11,11
549,549,4,4
550,550,2,2
551,551,6,6
552,552,4,4
553,553,3,3
554,554,2,2
555,555,1,1
556,556,4,4
557,557,1,1
558,558,5,5
559,559,1,1
560,560,1,1
561,561,3,3
562,562,1,1
563,563,2,2
564,564,1,1
565,565,1,1
566,566,2,2
567,567,6,6
568,568,4,4
569,569,5,5
570,570,6,6
571,571,2,2
572,572,1,1
573,573,2,2
574,574,1,1
575,575,2,2
576,576,3,3
577,577,4,4
578,578,2,2
579,579,1,1
580,580,1,1
581,581,5,5
582,582,2,2
583,583,2,2
584,584,7,7
585,585,9,9
586,586,3,3
587,587,2,2
588,588,7,7
589,589,6,6
590,590,1,1
591,591,6,6
592,592,3,3
593,593,5,5
594,594,2,2
595,595,4,4
596,596,5,5
597,597,5,5
598,598,1,1
599,599,4,4
600,600,3,3
601,601,1,1
602,602,4,4
603,603,2,2
604,604,2,2
605,605,8,8
606,606,3,3
607,607,2,2
608,608,2,2
609,609,4,4
610,610,1,1
611,611,4,4
612,612,2,2
613,613,7,7
614,614,1,1
615,615,2,2
616,616,5,5
617,617,1,1
618,618,1,1
619,619,7,7
620,620,8,8
621,621,3,3
622,622,1,1
623,623,4,4
624,624,4,4
625,625,3,3
626,626,23,23
627,627,2,2
628,628,1,1
629,629,2,2
630,630,2,2
631,631,2,2
632,632,6,6
633,633,1,1
634,634,2,2
635,635,3,3
636,636,7,7
637,637,4,4
638,638,2,2
639,639,1,1
640,640,5,5
641,641,4,4
642,642,1,1
643,643,2,2
644,644,1,1
645,645,3,3
646,646,4,4
647,647,2,2
648,648,4,4
649,649,4,4
650,650,9,9
651,651,3,3
652,652,3,3
653,653,2,2
654,654,8,8
655,655,1,1
656,656,1,1
657,657,8,8
658,658,8,8
659,659,6,6
660,660,1,1
661,661,4,4
662,662,9,9
663,663,7,7
664,664,1,1
665,665,2,2
666,666,3,3
667,667,1,1
668,668,3,3
669,669,3,3
670,670,5,5
671,671,5,5
672,672,3,3
673,673,1,1
674,674,6,6
675,675,6,6
676,676,3,3
677,677,3,3
678,678,1,1
679,679,1,1
680,680,4,4
681,681,1,1
682,682,1,1
683,683,1,1
684,684,4,4
685,685,1,1
686,686,4,4
687,687,2,2
688,688,3,3
689,689,3,3
690,690,5,5
691,691,3,3
692,692,7,7
693,693,2,2
694,694,6,6
695,695,3,3
696,696,1,1
697,697,4,4
698,698,2,2
699,699,2,2
700,700,2,2
701,701,2,2
702,702,6,6
703,703,1,1
704,704,1,1
705,705,2,2
706,706,4,4
707,707,1,1
708,708,2,2
709,709,3,3
710,710,5,5
711,711,3,3
712,712,2,2
713,713,1,1
714,714,4,4
715,715,1,1
716,716,11,11
717,717,3,3
718,718,1,1
719,719,1,1
720,720,2,2
721,721,2,2
722,722,4,4
723,723,1,1
724,724,6,6
725,725,3,3
726,726,1,1
727,727,2,2
728,728,1,1
729,729,3,3
730,730,1,1
731,731,2,2
732,732,2,2
733,733,4,4
734,734,1,1
735,735,1,1
736,736,1,1
737,737,2,2
738,738,2,2
739,739,4,4
740,740,9,9
741,741,5,5
742,742,2,2
743,743,1,1
744,744,4,4
745,745,2,2
746,746,3,3
747,747,1,1
748,748,6,6
749,749,2,2
750,750,1,1
751,751,11,11
752,752,1,1
753,753,1,1
754,754,2,2
755,755,1,1
756,756,6,6
757,757,4,4
758,758,1,1
759,759,2,2
760,760,1,1
761,761,1,1
762,762,2,2
763,763,4,4
764,764,6,6
765,765,3,3
766,766,3,3
767,767,3,3
768,768,3,3
769,769,1,1
770,770,9,9
771,771,16,16
772,772,2,2
773,773,2,2
774,774,7,7
775,775,8,8
776,776,3,3
777,777,2,2
778,778,5,5
779,779,7,7
780,780,6,6
781,781,1,1
782,782,3,3
783,783,1,1
784,784,2,2
785,785,4,4
786,786,3,3
787,787,8,8
788,788,2,2
789,789,7,7
790,790,4,4
791,791,7,7
792,792,1,1
793,793,12,12
794,794,1,1
795,795,1,1
796,796,5,5
797,797,1,1
798,798,1,1
799,799,2,2
800,800,3,3
801,801,4,4
802,802,7,7
803,803,1,1
804,804,5,5
805,805,6,6
806,806,2,2
807,807,1,1
808,808,6,6
809,809,1,1
810,810,3,3
811,811,3,3
812,812,1,1
813,813,11,11
814,814,9,9
815,815,4,4
816,816,1,1
817,817,5,5
818,818,2,2
819,819,3,3
820,820,2,2
821,821,4,4
822,822,1,1
823,823,4,4
824,824,1,1
825,825,2,2
826,826,7,7
827,827,2,2
828,828,2,2
829,829,1,1
830,830,5,5
831,831,9,9
832,832,1,1
833,833,1,1
834,834,6,6
835,835,2,2
836,836,9,9
837,837,1,1
838,838,6,6
839,839,3,3
840,840,1,1
841,841,3,3
842,842,4,4
843,843,1,1
844,844,6,6
845,845,6,6
846,846,7,7
847,847,4,4
848,848,1,1
849,849,1,1
850,850,3,3
851,851,2,2
852,852,6,6
853,853,2,2
854,854,5,5
855,855,2,2
856,856,1,1
857,857,1,1
858,858,2,2
859,859,1,1
860,860,3,3
861,861,4,4
862,862,1,1
863,863,2,2
864,864,2,2
865,865,2,2
866,866,2,2
867,867,2,2
868,868,5,5
869,869,5,5
870,870,5,5
871,871,8,8
872,872,6,6
873,873,3,3
874,874,3,3
875,875,1,1
876,876,3,3
877,877,6,6
878,878,3,3
879,879,3,3
880,880,2,2
881,881,2,2
882,882,5,5
883,883,3,3
884,884,1,1
885,885,2,2
886,886,1,1
887,887,1,1
888,888,4,4
889,889,10,10
890,890,1,1
891,891,4,4
892,892,5,5
893,893,3,3
894,894,11,11
895,895,6,6
896,896,1,1
897,897,1,1
898,898,2,2
899,899,1,1
900,900,2,2
901,901,2,2
902,902,1,1
903,903,2,2
904,904,2,2
905,905,2,2
906,906,3,3
907,907,4,4
908,908,4,4
909,909,2,2
910,910,7,7
911,911,1,1
912,912,4,4
913,913,1,1
914,914,3,3
915,915,2,2
916,916,9,9
917,917,2,2
918,918,2,2
919,919,3,3
920,920,3,3
921,921,4,4
922,922,1,1
923,923,9,9
924,924,3,3
925,925,2,2
926,926,5,5
927,927,4,4
928,928,1,1
929,929,6,6
930,930,1,1
931,931,2,2
932,932,1,1
933,933,1,1
934,934,5,5
935,935,4,4
936,936,3,3
937,937,2,2
938,938,1,1
939,939,2,2
940,940,2,2
941,941,1,1
942,942,1,1
943,943,2,2
944,944,10,10
945,945,1,1
946,946,3,3
947,947,5,5
948,948,1,1
949,949,1,1
950,950,5,5
951,951,4,4
952,952,1,1
953,953,1,1
954,954,2,2
955,955,1,1
956,956,1,1
957,957,5,5
958,958,9,9
959,959,7,7
960,960,1,1
961,961,2,2
962,962,1,1
963,963,5,5
964,964,3,3
965,965,2,2
966,966,4,4
967,967,17,17
968,968,5,5
969,969,3,3
970,970,3,3
971,971,3,3
972,972,3,3
973,973,5,5
974,974,6,6
975,975,1,1
976,976,9,9
977,977,1,1
978,978,5,5
979,979,2,2
980,980,8,8
981,981,6,6
982,982,1,1
983,983,4,4
984,984,5,5
985,985,5,5
986,986,3,3
987,987,3,3
988,988,1,1
989,989,1,1
990,990,2,2
991,991,4,4
992,992,5,5
993,993,1,1
994,994,12,12
995,995,2,2
996,996,1,1
997,997,1,1
998,998,1,1
999,999,2,2
1000,1000,2,2
1001,1001,1,1
1002,1002,3,3
1003,1003,1,1
1004,1004,1,1
1005,1005,8,8
1006,1006,1,1
1007,1007,1,1
1008,1008,1,1
1009,1009,1,1
1010,1010,5,5
1011,1011,1,1
1012,1012,5,5
1013,1013,4,4
1014,1014,3,3
1015,1015,2,2
1016,1016,6,6
1017,1017,12,12
1018,1018,1,1
1019,1019,2,2
1020,1020,2,2
1021,1021,2,2
1022,1022,2,2
1023,1023,4,4
1024,1024,2,2
1025,1025,8,8
1026,1026,3,3
1027,1027,2,2
1028,1028,3,3
1029,1029,1,1
1030,1030,2,2
1031,1031,2,2
1032,1032,6,6
1033,1033,3,3
1034,1034,4,4
1035,1035,11,11
1036,1036,1,1
1037,1037,2,2
1038,1038,1,1
1039,1039,2,2
1040,1040,1,1
1041,1041,13,13
1042,1042,6,6
1043,1043,6,6
1044,1044,1,1
1045,1045,1,1
1046,1046,2,2
1047,1047,3,3
1048,1048,2,2
1049,1049,6,6
1050,1050,8,8
1051,1051,6,6
1052,1052,1,1
1053,1053,1,1
1054,1054,3,3
1055,1055,1,1
1056,1056,3,3
1057,1057,4,4
1058,1058,4,4
1059,1059,5,5
1060,1060,2,2
1061,1061,1,1
1062,1062,1,1
1063,1063,1,1
1064,1064,2,2
1065,1065,7,7
1066,1066,1,1
1067,1067,3,3
1068,1068,2,2
1069,1069,1,1
1070,1070,2,2
1071,1071,1,1
1072,1072,3,3
1073,1073,1,1
1074,1074,3,3
1075,1075,3,3
1076,1076,7,7
1077,1077,12,12
1078,1078,11,11
1079,1079,2,2
1080,1080,7,7
1081,1081,5,5
1082,1082,7,7
1083,1083,5,5
1084,1084,2,2
1085,1085,1,1
1086,1086,1,1
1087,1087,1,1
1088,1088,5,5
1089,1089,1,1
1090,1090,2,2
1091,1091,1,1
1092,1092,3,3
1093,1093,7,7
1094,1094,3,3
1095,1095,4,4
1096,1096,1,1
1097,1097,1,1
1098,1098,4,4
1099,1099,1,1
1100,1100,4,4
1101,1101,2,2
1102,1102,3,3
1103,1103,1,1
1104,1104,1,1
1105,1105,3,3
1106,1106,1,1
1107,1107,8,8
1108,1108,3,3
1109,1109,18,18
1110,1110,1,1
1111,1111,1,1
1112,1112,4,4
1113,1113,2,2
1114,1114,7,7
1115,1115,2,2
1116,1116,2,2
1117,1117,2,2
1118,1118,2,2
1119,1119,1,1
1120,1120,1,1
1121,1121,1,1
1122,1122,1,1
1123,1123,1,1
1124,1124,1,1
1125,1125,3,3
1126,1126,3,3
1127,1127,2,2
1128,1128,1,1
1129,1129,3,3
1130,1130,1,1
1131,1131,2,2
1132,1132,1,1
1133,1133,3,3
1134,1134,1,1
1135,1135,5,5
1136,1136,3,3
1137,1137,2,2
1138,1138,3,3
1139,1139,1,1
1140,1140,2,2
1141,1141,5,5
1142,1142,8,8
1143,1143,2,2
1144,1144,2,2
1145,1145,4,4
1146,1146,1,1
1147,1147,1,1
1148,1148,2,2
1149,1149,4,4
1150,1150,5,5
1151,1151,9,9
1152,1152,2,2
1153,1153,5,5
1154,1154,1,1
1155,1155,4,4
1156,1156,4,4
1157,1157,1,1
1158,1158,8,8
1159,1159,3,3
1160,1160,1,1
1161,1161,3,3
1162,1162,1,1
1163,1163,7,7
1164,1164,2,2
1165,1165,4,4
1166,1166,1,1
1167,1167,3,3
1168,1168,6,6
1169,1169,1,1
1170,1170,4,4
1171,1171,2,2
1172,1172,1,1
1173,1173,7,7
1174,1174,5,5
1175,1175,1,1
1176,1176,2,2
1177,1177,3,3
1178,1178,16,16
1179,1179,10,10
1180,1180,1,1
1181,1181,7,7
1182,1182,6,6
1183,1183,3,3
1184,1184,2,2
1185,1185,2,2
1186,1186,2,2
1187,1187,1,1
1188,1188,1,1
1189,1189,1,1
1190,1190,1,1
1191,1191,5,5
1192,1192,5,5
1193,1193,3,3
1194,1194,3,3
1195,1195,2,2
1196,1196,5,5
1197,1197,3,3
1198,1198,1,1
1199,1199,1,1
1200,1200,6,6
1201,1201,5,5
1202,1202,5,5
1203,1203,1,1
1204,1204,1,1
1205,1205,2,2
1206,1206,1,1
1207,1207,1,1
1208,1208,2,2
1209,1209,1,1
1210,1210,6,6
1211,1211,3,3
1212,1212,2,2
1213,1213,3,3
1214,1214,2,2
1215,1215,1,1
1216,1216,1,1
1217,1217,1,1
1218,1218,4,4
1219,1219,13,13
1220,1220,1,1
1221,1221,2,2
1222,1222,4,4
1223,1223,1,1
1224,1224,5,5
1225,1225,3,3
1226,1226,4,4
1227,1227,4,4
1228,1228,2,2
1229,1229,2,2
1230,1230,6,6
1231,1231,4,4
1232,1232,1,1
1233,1233,1,1
1234,1234,2,2
1235,1235,5,5
1236,1236,2,2
1237,1237,7,7
1238,1238,1,1
1239,1239,2,2
1240,1240,4,4
1241,1241,2,2
1242,1242,1,1
1243,1243,1,1
1244,1244,1,1
1245,1245,3,3
1246,1246,4,4
1247,1247,4,4
1248,1248,4,4
1249,1249,1,1
1250,1250,7,7
1251,1251,2,2
1252,1252,3,3
1253,1253,7,7
1254,1254,4,4
1255,1255,3,3
1256,1256,3,3
1257,1257,4,4
1258,1258,1,1
1259,1259,1,1
1260,1260,8,8
1261,1261,2,2
1262,1262,2,2
1263,1263,1,1
1264,1264,1,1
1265,1265,2,2
1266,1266,1,1
1267,1267,3,3
1268,1268,2,2
1269,1269,4,4
1270,1270,1,1
1271,1271,3,3
1272,1272,2,2
1273,1273,6,6
1274,1274,4,4
1275,1275,10,10
1276,1276,2,2
1277,1277,3,3
1278,1278,4,4
1279,1279,1,1
1280,1280,2,2
1281,1281,2,2
1282,1282,1,1
1283,1283,2,2
1284,1284,9,9
1285,1285,3,3
1286,1286,4,4
1287,1287,3,3
1288,1288,1,1
1289,1289,3,3
1290,1290,1,1
