,list
0,28.7
1,44.7
2,51.6
3,160.0
4,174.7
5,824.6
6,743.0
7,357.5
8,197.7
9,266.9
10,350.8
11,48.4
12,6.7
13,2.6
14,57.3
15,83.9
16,134.5
17,390.9
18,1205.0
19,315.8
20,491.6
21,358.4
22,158.3
23,121.5
24,3.2
25,18.6
26,3.1
27,83.6
28,249.7
29,558.6
30,1022.5
31,420.2
32,341.8
33,354.1
34,157.0
35,59.0
36,23.7
37,3.0
38,32.2
39,71.5
40,235.7
41,1098.2
42,725.5
43,351.8
44,222.7
45,328.1
46,33.9
47,3.3
48,1.2
49,22.3
50,9.4
51,105.9
52,263.3
53,850.2
54,520.5
55,293.6
56,217.2
57,383.5
58,74.4
59,0.2
60,26.7
61,7.4
62,9.9
63,59.4
64,160.8
65,414.9
66,954.2
67,442.8
68,131.2
69,251.7
70,163.1
71,86.0
72,18.8
73,4.8
74,55.7
75,170.8
76,101.4
77,770.9
78,760.4
79,981.5
80,225.0
81,309.7
82,219.1
83,52.8
84,8.0
85,20.8
86,38.2
87,102.9
88,142.6
89,592.6
90,902.2
91,352.9
92,175.9
93,253.3
94,47.9
95,11.0
96,54.1
97,11.8
98,61.3
99,93.8
100,473.2
101,704.7
102,782.3
103,258.0
104,195.4
105,212.1
106,171.1
107,32.3
108,2.7
109,25.7
110,23.3
111,124.5
112,148.8
113,680.0
114,484.1
115,473.8
116,248.6
117,356.6
118,280.4
119,0.1
120,3.0
121,4.3
122,18.2
123,51.0
124,180.6
125,990.0
126,705.3
127,178.6
128,60.2
129,302.3
130,145.7
131,87.6
132,1.9
133,15.0
134,11.2
135,122.7
136,217.3
137,948.2
138,833.6
139,534.4
140,136.8
141,469.5
142,138.7
143,22.0
144,3.1
145,5.2
146,20.7
147,75.7
148,198.8
149,541.7
150,763.2
151,247.2
152,176.9
153,422.5
154,109.9
155,45.8
156,0.7
157,6.8
158,18.1
159,32.7
160,164.2
161,565.3
162,857.7
163,402.2
164,241.0
165,374.4
166,100.9
167,135.2
168,16.9
169,23.5
170,42.7
171,106.0
172,154.5
173,696.1
174,775.6
175,298.8
176,396.6
177,196.6
178,302.5
179,14.9
180,0.0
181,7.8
182,22.0
183,82.4
184,199.0
185,920.2
186,513.9
187,396.9
188,339.3
189,320.7
190,134.3
191,8.9
192,2.9
193,47.6
194,79.4
195,38.1
196,122.9
197,703.7
198,342.7
199,335.1
200,470.3
201,264.1
202,256.4
203,41.6
204,42.9
205,5.0
206,32.8
207,51.3
208,683.0
209,464.3
210,167.5
211,376.0
212,96.4
213,233.2
214,295.4
215,54.1
216,43.0
217,6.1
218,33.9
219,65.9
220,247.0
221,636.8
222,648.0
223,484.2
224,255.9
225,249.2
226,280.1
227,53.0
228,35.2
229,5.5
230,24.1
231,172.0
232,87.7
233,964.3
234,940.8
235,235.0
236,178.0
237,350.1
238,302.3
239,8.2
240,43.0
241,4.7
242,15.0
243,171.3
244,104.1
245,489.1
246,639.8
247,641.9
248,156.7
249,302.4
250,136.2
251,15.8
252,30.5
253,21.4
254,16.3
255,89.6
256,293.6
257,663.1
258,1025.1
259,320.6
260,222.4
261,266.3
262,293.7
263,25.1
264,24.7
265,0.7
266,78.9
267,43.5
268,80.0
269,722.5
270,1008.7
271,943.0
272,254.3
273,203.1
274,83.9
275,41.6
276,19.3
277,2.9
278,66.6
279,111.0
280,185.4
281,1011.7
282,1526.5
283,624.0
284,289.1
285,176.5
286,162.9
287,50.4
288,4.1
289,16.5
290,76.9
291,93.4
292,258.2
293,688.8
294,593.5
295,554.1
296,158.8
297,295.4
298,223.7
299,98.8
300,28.6
301,5.8
302,23.1
303,55.8
304,222.6
305,563.9
306,885.2
307,536.0
308,322.7
309,216.7
310,88.8
311,16.2
312,18.8
313,35.3
314,49.6
315,86.5
316,265.4
317,720.2
318,888.2
319,315.0
320,335.6
321,135.8
322,137.6
323,6.8
324,12.7
325,65.9
326,51.3
327,121.1
328,81.9
329,590.7
330,420.6
331,553.2
332,75.9
333,321.5
334,155.2
335,52.7
336,12.8
337,29.8
338,58.9
339,210.7
340,148.0
341,946.6
342,844.0
343,293.9
344,268.9
345,350.4
346,158.2
347,39.4
348,10.8
349,10.8
350,39.0
351,102.7
352,404.9
353,633.1
354,401.7
355,273.4
356,411.5
357,433.9
